Timestamp,temp,humidity,feels_like,wind_speed,SSE open,SSE volume,AV open price,AV volume,TSCO open price,TSCO volume
12/6/2024 8:00,6.38,76,2.22,7.2,1721.5,0,487.8999939,0,374.2000122,0
12/6/2024 9:00,6.5,77,4.54,2.68,1717.34375,25417,487,823723,370.0440979,370997
12/6/2024 10:00,7.27,75,3.91,5.66,1716.5,45667,485.8988953,303381,369.8999939,317463
12/6/2024 11:00,8.22,74,5.31,5.14,1717,23519,486.2999878,223898,370.5,1458266
12/6/2024 12:00,8.98,72,6.47,4.63,1711.5,106441,487.6000061,5745716,369.1000061,455526
12/6/2024 13:00,9.42,70,7.76,3.09,1714.5,89164,489.3999939,323494,369.2479858,456712
12/6/2024 14:00,9.39,70,7.45,3.6,1715.5,104773,490.2000122,729256,369,630046
12/6/2024 15:00,9.21,70,6.98,4.12,1705.5,133347,487.2999878,801216,368.7658081,7018221
12/6/2024 16:00,8.54,73,6.7,3.09,1695.5,86413,483.2999878,635021,368.1879883,627050
12/9/2024 8:00,6.89,84,3.94,4.47,1706,0,484.7999878,0,367.2000122,0
12/9/2024 9:00,6.71,83,4.18,3.6,1694,88362,482.905304,437571,365.6000061,205440
12/9/2024 10:00,7.12,82,4.15,4.63,1699.001709,40404,482.8991089,190629,366.2000122,249782
12/9/2024 11:00,7.38,80,3.85,6.17,1695,33052,482.3999939,183496,366.3999939,153296
12/9/2024 12:00,7.7,79,4.08,6.69,1699,38124,483.2999878,193848,366.6000061,196399
12/9/2024 13:00,7.9,79,4.18,7.2,1703,43918,484.2000122,201661,366.7000122,201911
12/9/2024 14:00,7.67,79,4.41,5.66,1704,51979,482.2000122,3221872,366.1000061,383687
12/9/2024 15:00,7.39,83,4.49,4.63,1698.5,81503,484.6000061,217918,365.5,885342
12/9/2024 16:00,7.75,83,4.33,6.17,1699.944946,63880,482.9808044,262784,364.25,828287
12/10/2024 8:00,5.9,89,2.17,5.66,1691,0,482.2999878,0,365.6000061,0
12/10/2024 9:00,6.23,87,2.59,5.66,1691.5,189457,479.7000122,469127,368.6412964,713777
12/10/2024 10:00,6.32,85,2.51,6.17,1681.5,28932,479.7000122,408866,369.2999878,438879
12/10/2024 11:00,6.62,83,2.89,6.17,1684,67801,477.7999878,166478,369.289093,335523
12/10/2024 12:00,6.72,82,3.43,5.14,1680,51874,479.8099976,87736,369.4060059,190357
12/10/2024 13:00,6.86,82,3.39,5.66,1683,37418,478.7730103,114408,369,386358
12/10/2024 14:00,7.15,78,3.75,5.66,1678,75743,477.4299927,442989,368.2999878,2002284
12/10/2024 15:00,7.23,78,4.07,5.14,1675,137223,475.6000061,308129,368.7000122,750686
12/10/2024 16:00,7.12,79,3.93,5.14,1680,52165,474.8299866,263234,369,838129
12/11/2024 8:00,5.74,87,2.2,5.14,1676,0,473.7000122,0,366.8999939,0
12/11/2024 9:00,5.69,87,2.38,4.63,1668.5,22555,476.5,177202,368.1253967,308942
12/11/2024 10:00,6,84,3.02,4.12,1664.280029,61291,477.6000061,150568,368.3559875,429171
12/11/2024 11:00,6.25,84,3.07,4.63,1665,78840,477.2737122,105194,369.7000122,675229
12/11/2024 12:00,6.29,85,3.12,4.63,1658.567261,332927,476.8649902,262698,370.7999878,714815
12/11/2024 13:00,6.64,83,3.81,4.12,1660.5,28879,476.2000122,138792,371.5,1935812
12/11/2024 14:00,6.76,84,4.24,3.6,1658.5,88492,478,137943,369.8999939,1003698
12/11/2024 15:00,6.79,84,3.74,4.63,1651,285426,474.3999939,224463,369.6000061,645726
12/11/2024 16:00,6.77,83,4.26,3.6,1651,236928,474.6000061,132375,369.6000061,603306
12/12/2024 8:00,5.12,92,5.12,0.89,1658,0,473.9,0,366.7,0
12/12/2024 9:00,5.49,91,5.49,0.89,1671,4372,473.2,15800,369.35,37150
12/12/2024 10:00,5.99,92,5.29,1.34,1668.33,7024,473,26691,369.6,10592
12/12/2024 11:00,6.52,91,5.63,1.54,1677.5,3252,472.8,42731,370.5,7073
12/12/2024 12:00,7.09,91,5.59,2.24,1679.5,784,473.2,10935,370.9,21915
12/12/2024 13:00,7.26,92,5.14,3.13,1677,4297,473.3,8287,370.4,12089
12/12/2024 14:00,7.63,90,6.38,2.06,1678,1213,473.9,42017,370.9,9587
12/12/2024 15:00,7.66,89,6.41,2.06,1675.5,12519,474,4939,370.5,12141
12/12/2024 16:00,7.75,90,7.04,1.54,1677.5,7281,472.2,8985,370.9,1000
